"","text","date","time","textfre","score","result","name"
"106","so is trump gonna really run on the swine flu was handled way worse than the coronavirus i mean is he even trying anymore ",2020-09-18,"22:28:52"," gonna really run swine flu handled way worse coronavirus mean even trying anymore ",-4,"negative","trump"
"107","poll added in pa civiqs to biden trump new pa average biden ",2020-09-18,"22:26:38","poll added pa civiqs new pa average ",1,"postive","trump"
"108","poll added in oh civiqs to biden trump new oh average trump ",2020-09-18,"22:24:26","poll added oh civiqs new oh average ",1,"postive","trump"
"109"," presidential election news update trump suggests hed consider removing fbi director over unfavorable testim ",2020-09-18,"22:24:00"," presidential election news update suggests hed consider removing fbi director unfavorable testim ",0,"neutral","trump"
"110","poll added in mi civiqs to biden trump new mi average biden ",2020-09-18,"22:22:03","poll added mi civiqs new mi average ",1,"postive","trump"
"111","if youve been at the rally for trump in bemidji mn stay the fk away from me ",2020-09-18,"22:18:10"," youve rally bemidji mn stay fk away ",0,"neutral","trump"
"112","poll added in az siena wp to biden trump jorgensen new az ",2020-09-18,"22:18:00","poll added az siena wp jorgensen new az ",1,"postive","trump"
"113"," im voting for trump again this coming november of trump keep america great ",2020-09-19,"23:55:16"," im voting coming november keep america great ",1,"postive","trump"
"114","so theyre playing ymca and macho man at trump rallies those people are rockin out to songs that glorify th ",2020-09-19,"23:53:24"," theyre playing ymca macho man rallies people rockin songs glorify th ",1,"postive","trump"
"115"," trump is a cancer the left is at worst naive in hoping simple solutions can solve complex problems ",2020-09-19,"23:52:33"," cancer left worst naive hoping simple solutions can solve complex problems ",-1,"negative","trump"
"116","just helped a friend register a new republican voter for trump in pa ",2020-09-19,"23:46:10","just helped friend register new republican voter pa ",4,"postive","trump"
"117","who is amy coney barrett the judge at the top of trumps list to replace ruth bader ginsburg ",2020-09-19,"23:43:45"," amy coney barrett judge top list replace ruth bader ginsburg ",2,"postive","trump"
"118"," i think many on the left understand trump zero chance for progress while biden keeps the door ope ",2020-09-19,"23:41:59"," think many left understand zero chance progress keeps door ope ",2,"postive","trump"
"119","despite my innate anxiety of dealing w antimaskers amp trumpets blocking entrances this yo decided to regist ",2020-09-19,"23:40:46","despite innate anxiety dealing w antimaskers amp trumpets blocking entrances yo decided regist ",-2,"negative","trump"
"120","daily retweet will be a of trumps lack of amp s complici ",2020-09-19,"23:39:46","daily retweet will lack amp s complici ",-1,"negative","trump"
"121","lordhelpusnow as far as im concerned its just another fuckedup episode of trumps reality shit show trump and ",2020-09-19,"23:38:38","lordhelpusnow far im concerned just another fuckedup episode reality shit show ",-2,"negative","trump"
"122","a new npr poll reveals that biden is leading trump by a substantial margin points among likely voters ",2020-09-19,"23:30:00"," new npr poll reveals leading substantial margin points among likely voters ",2,"postive","trump"
"123","why is trump in nc every weekend bringing his racist stupid diseased followers with him im disgusted ",2020-09-19,"23:29:53"," nc every weekend bringing racist stupid diseased followers im disgusted ",-4,"negative","trump"
"124","no surprise heretrump will try to railroad this through the senatewith mcconnells assistanceobama was refused by ",2020-09-19,"23:24:48"," surprise heretrump will try railroad senatewith mcconnells assistanceobama refused ",0,"neutral","trump"
"125","dont like trump dems are psychotic its a race to see who will be less idiotic surprisingly over past few week ",2020-09-19,"23:22:56","dont like dems psychotic race see will less idiotic surprisingly past week ",-2,"negative","trump"
"126","were going to have a victory on november rd the likes of which youve never seen president trump ",2020-09-19,"23:22:39"," going victory november rd likes youve never seen president ",1,"postive","trump"
"127"," why is it that trump and the crowd feel that lying to the american people is the only w ",2020-09-19,"23:20:55"," crowd feel lying american people w ",-1,"negative","trump"
"128","gosh must have said at least million times trump during the past years candidate ",2020-09-19,"23:20:41","gosh must said least million times past years candidate ",1,"postive","trump"
